FRCODE,FRNAME
287,CITI ON CAMELBACK
288,CITRINE APARTMENTS
290,CORRIENTE CONDOS
291,COURTYARDS AT DESERT PARK
292,DESERT MIRAGE
293,DESERT PARKS VISTA
294,DESERT SANDS APARTMENTS
295,ELEVATION
296,ENCLAVE AT ARROWHEAD
297,ESTATES ON MARYLAND
298,FAIRFIELD WYNGATE
300,HOMESTEAD AT TALKING GLASS APARTMENTS
301,INSPIRE ON EARLL
302,IRONHORSE AT TRAMONTO
303,LEGACY BUNGALOWS
304,LIV GOODYEAR APARTMENTS
305,LIV NORTH VALLEY PARKWAY
306,LODGE @ ARROWHEAD TOWNE
308,MANDARINA APTS
309,MAXX 159
310,MESA HEIGHTS
311,MISSION SPRINGS
312,Monier
313,MONTAGE AT PECOS RANCH
314,MOUNTAIN VISTA APARTMENTS
315,PALAZZO TOWNHOMES
317,PARK PLACE (AZ)
318,PILLAR @ TAVIANO
319,PILLAR AT BELLA VISTA
320,PILLAR AT WESTGATE
321,RETREAT @ SPEEDWAY
322,ROCK CANYON
323,SAFARI CONDOS
324,SAGESTONE
325,SALIDA DEL SOL
326,SANTANA VILLAGE
327,SHADE AT DESERT RIDGE
328,SKYVIEW RANCH
330,SOVANNA CONDOS
331,SPRINGS AT YORKSHIRE
332,STONE CANYON
333,STONEBRIDGE RANCH APTS
334,SUN VALLEY RANCH APTS
335,SYMPHONY
336,TALUS RANCH
337,TERRA VISTA AT TATUM RNCH
338,THE EDGE ON LYONS GATE
340,THE MODERNE
341,THE PALMS AT AUGUSTA RANCH
343,THE PLACE AT SONORAN TRAILS
344,THE QUARTER CONDO
345,THE RESERVE AT GILBERT TOWN CENTER
346,THE STERLING
349,TOSCANA OF DESERT RIDGE I & II
350,TRAVIATAS CONDOS
351,TRESA AT ARROWHEAD
352,VELAIRE AT ASPERA APTS
353,VENTURA VISTA
355,VIEW 32
356,VILLAGE @ SUN VALLEY
357,VILLAGE AT ASPEN PLACE
358,VILLAGE AT TOWNE CENTER
359,VILLAS AT CAMELBACK CROSSING
360,WEST END STATION
361,Winfield at the Ranch
366,255 SAINT PAUL
370,85 S UNION
371,Alameda View Apartments
372,ALEXAN @ CITY CENTER
373,ALLURE APARTMENTS
376,ASPEN RIDGE
377,ATELIER AT UNIVERSITY PAR
379,BALLANTYNE DRY CREEK VLG
381,Brandon Courtyard Apartments
382,BROADWAY LOFTS
384,CAPITAL HEIGHTS APARTMENT
385,CARIBOU APARTMENTS
386,CATANIA APTS
388,Christine Place Apartments
389,CHROMA APARTMENTS
392,CIMARRON POINTE APTS
394,COPPER PEAK APTS
395,COPPER STONE
397,CREEKSIDE
398,CREEKSIDE TOWNHOMES (CO)
400,CYCLE APARTMENTS
401,MONTSERRAT RECEIVER RENTALS
402,DEER CREEK APTS
403,DELGANY LOFTS
406,DRY CREEK COMMONS
411,ELEMENTS AT PRAIRIE CENTER
413,Falcon View Apartments
415,FIRESTONE MEADOWS
416,FLATS AT WHISPER SKY
417,GLASS HOUSE
418,GLENARM
420,GREEN LEAF STONE CLIFF
421,GREENBRIAR AT SADDLEROCK
422,HAWTHORNE HILLS
425,HIDDEN LAKE HOMES
430,LAKE CHALET
431,Lakehouse on 17th
432,LAMBERSTON FARMS
433,LEGACY SENIOR RESIDENCES
434,LINCOLN POINTE LOFTS II
436,MALBEC AT VALLAGIO
441,Modera West Wash Park
442,MONROE POINT
443,MONTRACHET
444,MOUNTAIN VIEW APTS
445,NORTH RANGE CROSSINGS
449,Overture 9th & CO
451,PARK LANE TOWERS
452,PARK PLACE (CO)
453,PARK TOWER (RIVERFRONT)
454,PARKHOUSE PHASE I
455,PARKHOUSE PHASE II
456,PARKWAY ONE
458,PELOTON BOULDER
460,PINNACLE AT CITY PARK SO
464,PRENTICE PLACE APTS
465,PRESIDIO APARTMENTS
466,PROMENADE
467,Radiant Apartments
468,RANCHSTONE JORDAN II
469,REDSTONE RIDGE CONDO
470,RENAISSANCE VILLAGE APARTMENTS
471,RESERVE AT BROADWAY STATI
472,RESERVES @ NORTHGLENN
473,RESERVES AT CENTERA
474,RESERVES@ CASTLE HIGHLAND
475,Residences at Hoffman
477,RYE SOBO
478,SANDSTONE VISTAS
479,SAVANNAH AT SOUTH CREEK
480,SETTLERS CREEK
483,South Main Station
484,South Range Crossings
485,Springs at Eagle Bend
486,SPRINGS AT SANDSTONE RANCH
488,ST. MICHAELS APARTMENTS
490,STONE MOUNTAIN
491,STONEBRIAR
493,MAA PROMENADE (SYNC36)
494,Sync36 Phase II
495,TALAVERA
499,THE FORUM AT FITZSIMONS
501,THE LANDMARK
502,THE LIDO
504,THE MERIDIAN GRNWOOD
505,THE PARK
506,THE RESERVE AT WEST T-BONE APARTMENTS
507,THE RESERVE AT WEST T-BONE APTS PHASE II
513,TRADITIONS AT ENGLEWOOD
514,TRAIL CREEK RANCH CONDOS
515,TRAILSIDE VILLAGE
516,UNION WEST APARTMENTS
517,VALLAGIO INVERNESS I
518,VALLAGIO INVERNESS II
519,VELA MERIDIAN APTS
523,VILLAGE CREST APTS
524,Volta Apartments
526,WATER TOWER APARTMENTS
528,WEST LINE FLATS APARTMENT
529,WESTRIDGE APARTMENTS
531,WINDMILL CREEK CONDOS
532,WINDMILL RANCH
534,WINDSOR AT PINEHURST
535,X Denver 1
537,CANTERBURY III
539,COURT AVENUE LOFTS
544,PROVIDENCE POINTE CONDOS
545,SIGNATURE PLACE
546,STONE CREEK VILLAS-IA
548,VALLEY VIEW APARTMENTS.
549,WILKINS BUILDING
550,WINDSOR VILLAGE TOWNHOMES
551,CIVIC PLAZA
552,Las Brisas Apartments
554,PARK APARTMENTS
555,THE BIRCHES
558,SQUIRE CREEK COUNTRY CLUB
560,CEDAR HILLS WEST
561,CLASSIC AT THE PRESERVE I
562,COUNTRY VILLAGE APTS
563,CROWN VILLA APTS
564,HELLO APARTMENTS
567,KELLOGG SQUARE
568,LORING PARK MINNEAPOLIS
571,ONYX EDINA
573,RIVER POINTE LOFTS
574,RIVERVIEW AT UPPER LANDING
578,POLLEY'S SQUARE
580,HUNTINGTON SPRING
581,RUN HILL APARTMENTS
582,TABOR LANDING
585,CEDAR RIDGE APTS
586,MIDLAND HEIGHTS
587,MIDTOWN CROSSING
589,SPRING HILL APARTMENTS
591,THE BREAKERS
592,THE STERLING APARTMENTS
593,ARROYO VERDE
594,MARKANA APARTMENTS
597,THE CARLISLE
598,THE STERLING DOWNTOWN
599,937 CONDOMINIUMS
600,CASCADE MEADOWS APTS
601,ELIZABETH LOFTS
603,GRANT PARK VILLAGE
606,MORELAND CROSSING
608,THE PRESCOTT
609,THE VISTA AT THE PEARL - BLOCK 20
611,CREEKSIDE TOWNHOMES (TX)
613,ESPERANZA APTS
617,RIVER OAKS APARTMENTS
618,THE HAMLINS AT CEDAR CREEK LAKE APARTMEN
619,THE POINT AT VALLEY RANCH CENTER APARTME
620,THE SUMMIT APARTMENTS
621,UNIVERSITY HEIGHTS II
622,WILLOW CREEK
626,CITY CREEK RESERVE
629,FALLS@CANYON RIM
631,FRONTGATE
632,HAVEN POINTE APTS
633,LIBERTY COMMONS
635,LIBERTY LANDING
640,PINNACLE MOUNTAIN VIEW
642,ROSE COVE
643,TOOELE GATEWAY
644,WOODGATE APTS
645,1521 2ND AVE
649,BLUE POINT APARTMENTS
651,BRISTOL II
653,CELEBRATION SENIOR LIVING
654,CELEBRATION SENIOR LIVING WEST
655,COPPER RIVER APARTMENTS
656,COPPER VALLEY APARTMENTS
661,LEGACY PRATT PARK
662,LINCOLN SQUARE EXPANSION
663,MALMO APT
664,NAPOLEON
665,NORA APARTMENTS
666,NORTHERN HEIGHTS
668,OLIVE 8
669,ONE ISLAND SQUARE
670,PIONEER MEADOWS APTS
672,QUINTESSA APTS
674,Spire
677,THE MERCER
679,THE VINE AT BELLTOWN
680,TRUTINA APTS
681,WASHINGTON SQUARE
683,Eaton Street Apartments
684,Kennedy House Condominium
685,THE PALMS
686,GARRARD STREET LLC
687,LUXURIA
688,EPOQUE GOLDEN APARTMENTS
689,Grande Isles III & IV
